cals,hour
666.9,1
603.3,2
427.2,3
390.4,4
394.7,5
387.3,6
398.9,7
532.9,8
285.9,9
236.5,10
178.9,11
305.3,12
621.3,13
272.8,14
281.6,15
444.9,16
448.2,17
491.7,18
374.7,19
339.4,20
427.9,21
522.7,22
488.5,23
543.5,24
403.6,25
345.5,26
320.2,27
365.7,28
194.4,29
182.9,30
176.8,31
188.4,32
315.6,33
291.7,34
548.6,35
241.9,36
169.1,37
237.6,38
422.7,39
411.7,40
309.5,41
413.3,42
397,43
340.8,44
273.6,45
534.5,46
243.2,47
289.6,48
296.6,49
277.4,50
355.8,51
304.2,52
182.3,53
234.2,54
353.4,55
311.7,56
496.5,57
202.7,58
315.1,59
339.2,60
322.1,61
322.1,62
288.5,63
316.2,64
309.3,65
249.9,66
227.4,67
414.5,68
347,69
379.2,70
353.1,71
266.1,72
260.6,73
345.8,74
368.1,75
536.1,76
