cals,hour
564.0,1
711.2,1
540.4,1
599.9,1
531.7,1
439.1,1
364.2,1
293.8,1
417.4,1
402.5,1
394.3,1
338.4,1
308.8,1
542.5,1
235.7,1
219.9,1
342.5,1
246.7,1
451.0,1
269.2,1
394.0,1
333.8,1
329.3,1
275.5,1
494.2,1
189.2,1
150.2,1
366.8,1
351.3,1
334.0,1
268.8,1
210.2,1
316.3,1
303.6,1
338.2,1
530.4,1
331.7,1
326.9,1
353.1,1
382.1,1
221.8,1
174.0,1
311.8,1
256.6,1
249.5,1
173.0,1
474.4,1
265.3,1
204.9,1
303.8,1
159.0,1
152.5,1
387.0,1
317.6,1
370.0,1
255.4,1
184.8,1
375.1,1
317.4,1
349.1,1
297.6,1
286.6,1
325.3,1
309.4,1
319.5,1
288.1,1
325.8,1
228.9,1
465.8,1
259.9,1
194.0,1
229.6,1
372.9,1
400.2,1
367.8,1
384.4,1
297.6,1
262.9,1
252.0,1
435.1,1
238.3,1
356.3,1
333.6,1
392.3,1
619.3,1
471.6,1
747.8,1
435.1,1
371.7,1
416.7,1
331.6,1
359.3,1
825.7,1
520.4,1
361.9,1
508.9,1
502.3,1
662.3,1
487.3,1
687.2,1
336.1,1
281.0,1
169.8,1
246.5,1
277.4,1
288.6,1
266.6,1
299.5,1
463.4,1
608.4,1
612.5,1
422.3,1
839.9,1
950.7,1
418.0,1
454.7,1
384.0,1
608.0,1
936.7,1
592.5,1
972.0,1
947.8,1
290.9,1
358.1,1
894.9,1
764.9,1
772.0,1
897.6,1
966.1,1
941.4,1
622.8,1
472.9,1
955.0,1
324.9,1
392.5,1
323.5,1
920.4,1
412.9,1
931.0,1
935.5,1
340.2,1
580.6,1
302.9,1
912.8,1
695.3,1
456.3,1
493.8,1
420.5,1
506.6,1
467.2,1
485.0,1
716.3,1
561.8,1
330.8,1
347.8,1
294.9,1
336.1,1
325.0,1
406.3,1
260.2,1
188.6,1
178.6,1
176.6,1
533.3,1
222.0,1
321.4,1
302.9,1
300.3,1
275.6,1
174.9,1
172.1,1
329.4,1
343.1,1
